country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Ahvenisen beachvolleykenttä,AHVENINEN,"Peltoniementie 1, 81260 AHVENINEN",62.949042,30.095143,address,1,sand,,yes,public,city,517629,https://www.joensuu.fi/liikunta,2026-05-13,LIPAS id 517629; type 1330; status active,fi-out-517629-ahvenisen-beachvolleykentta
FINLAND,Ahvensalmen urheilukenttä,AHVENSALMI,"Multalantie 90, 58140 AHVENSALMI",62.153578,28.523798,address,1,sand,,yes,public,registered-association,600767,,2026-05-13,LIPAS id 600767; type 1330; status active,fi-out-600767-ahvensalmen-urheilukentta
FINLAND,Ilmoilan beachvolleykenttä,ALVETTULA,"Rantatanhua, 14680 ALVETTULA",61.224023,24.384442,address,1,sand,,,public,other,101608,,2026-05-13,LIPAS id 101608; type 1330; status active,fi-out-101608-ilmoilan-beachvolleykentta
FINLAND,Aitoon kankahuven beachvolleykenttä,Aitoo,"Kankahuventie 74, 36720 Aitoo",61.352951,24.474319,address,1,sand,,,public,city,513804,http://www.palkane.fi/,2026-05-13,LIPAS id 513804; type 1330; status active,fi-out-513804-aitoon-kankahuven-beachvolleykentta
FINLAND,Tipurin beach volley -kenttä,Akaa,"Tipurintie, 37910 Akaa",61.168972,23.727579,address,1,sand,,yes,public,city,517396,www.akaa.fi,2026-05-13,LIPAS id 517396; type 1330; status active,fi-out-517396-tipurin-beach-volley-kentta
FINLAND,Toijalan uimarannan beach volley -kenttä,Akaa,"Kangassaarentie 14, 37800 Akaa",61.191444,23.902379,address,2,sand,,yes,public,city,"517393, 517394",www.akaa.fi,2026-05-13,"Merged 2 LIPAS entries (ids: 517393, 517394); LIPAS id 517393; type 1330; status active",fi-out-517393-517394-toijalan-uimarannan-beach-volley-kentta
FINLAND,Alastaron beachvolleykenttä,Alastaro,"Aapiskuja, 32440 Alastaro",60.956850,22.856534,address,1,sand,,yes,school,city,516009,https://www.loimaa.fi/vapaa-aika/liikunta/liikuntapaikat/ulkoliikuntapaikat/beachvolley-ja-tenniskentat/,2026-05-13,LIPAS id 516009; type 1330; status active,fi-out-516009-alastaron-beachvolleykentta
FINLAND,Harrin beachvolley kenttä,Alavus,"Saarankuja 3, 63300 Alavus",62.575682,23.609740,address,1,sand,,yes,public,city,603096,https://www.alavus.fi,2026-05-13,LIPAS id 603096; type 1330; status active,fi-out-603096-harrin-beachvolley-kentta
FINLAND,Vähäjärven beachvolleykenttä,Alavus,"Uomatie 20, 63300 Alavus",62.593518,23.631475,address,1,sand,,yes,public,city,529808,https://www.alavus.fi/fi/vapaa-aika/liikunta/kesaliikunta/uimarannat.html,2026-05-13,LIPAS id 529808; type 1330; status active,fi-out-529808-vahajarven-beachvolleykentta
FINLAND,Auvaisten koulun beachvolleykenttä,Auvainen,"Auvaistentie 25, 21860 Auvainen",60.673565,22.576072,address,1,sand,,yes,public,city,513409,http://www.poytya.fi/,2026-05-13,LIPAS id 513409; type 1330; status active,fi-out-513409-auvaisten-koulun-beachvolleykentta
FINLAND,Beach lentopallo,Bergö,"Bredhällsvägen 266, 66220 Bergö",62.971743,21.156517,address,1,,,,public,city,606369,,2026-05-13,LIPAS id 606369; type 1330; status active,fi-out-606369-beach-lentopallo
FINLAND,Björköbyn beachvolleykenttä,Björköby,"Sundesvägen 13, 65870 Björköby",63.338692,21.335103,address,1,sand,,yes,public,city,515531,https:/korsholm.fi/valfard,2026-05-13,LIPAS id 515531; type 1330; status active,fi-out-515531-bjorkobyn-beachvolleykentta
FINLAND,Lahdenperän beachvolleykenttä,EURAJOKI,"Verkkokarintie 606, 27100 EURAJOKI",61.241446,21.568426,address,1,sand,,,public,city,518780,http://www.eurajoki.fi/,2026-05-13,LIPAS id 518780; type 1330; status active,fi-out-518780-lahdenperan-beachvolleykentta
FINLAND,Käringsundin beachvolleykenttä,Eckerö,"Käringsundsvägen 194, 22270 Eckerö",60.237884,19.543650,address,1,sand,,,public,company-ltd,607587,https://www.karingsund.ax/,2026-05-13,LIPAS id 607587; type 1330; status active,fi-out-607587-karingsundin-beachvolleykentta
FINLAND,Eerikkilän beachvolleykenttä,Eerikkilä,"Urheiluopistontie 138, 31370 Eerikkilä",60.724054,23.784817,address,2,sand,,,public,foundation,"510259, 510260",http://www.eerikkila.fi/,2026-05-13,"Merged 2 LIPAS entries (ids: 510259, 510260); LIPAS id 510259; type 1330; status active",fi-out-510259-510260-eerikkilan-beachvolleykentta
