country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Pitkäjärven beach volley -kenttä,Mikkeli,"Somerkuja, 50130 Mikkeli",61.674548,27.247498,address,1,sand,,,school,city,102066,http://www.mikkeli.fi/,2026-05-09,LIPAS id 102066; type 1330; status active
FINLAND,Urpolan beachvolleykenttä,Mikkeli,"Rinnekatu 10, 50100 Mikkeli",61.677507,27.262236,address,,sand,,,public,city,614534,http://www.mikkeli.fi/,2026-05-09,LIPAS id 614534; type 1330; status active
FINLAND,Urpolan beachvolleykenttä 1,Mikkeli,"Rinnekatu 10, 50100 Mikkeli",61.676625,27.257833,address,,sand,,,public,city,102132,http://www.mikkeli.fi/,2026-05-09,LIPAS id 102132; type 1330; status active
FINLAND,Urpolan beachvolleykenttä 2,Mikkeli,"Rinnekatu 10, 50100 Mikkeli",61.676539,27.257694,address,,sand,,,public,city,616947,http://www.mikkeli.fi/,2026-05-09,LIPAS id 616947; type 1330; status active
FINLAND,Urpolan beachvolleykenttä 3,Mikkeli,"Rinnekatu 10, 50100 Mikkeli",61.676457,27.257512,address,,sand,,,public,city,616948,http://www.mikkeli.fi/,2026-05-09,LIPAS id 616948; type 1330; status active
FINLAND,Urpolan beachvolleykenttä 4,Mikkeli,"Rinnekatu 10, 50100 Mikkeli",61.676361,27.257334,address,,sand,,,public,city,616949,http://www.mikkeli.fi/,2026-05-09,LIPAS id 616949; type 1330; status active
FINLAND,Ponkilan beach volleykenttä 1,Muhos,"Ponkilantie, 91500 Muhos",64.809190,26.007915,address,1,sand,,,public,city,515613,www.muhos.fi,2026-05-09,LIPAS id 515613; type 1330; status active
FINLAND,Ponkilan beach volleykenttä 2,Muhos,"Ponkilantie, 91500 Muhos",64.809108,26.007791,address,1,sand,,,public,city,515614,www.muhos.fi,2026-05-09,LIPAS id 515614; type 1330; status active
FINLAND,Ponkilan beach volleykenttä 3,Muhos,"Ponkilantie, 91500 Muhos",64.809269,26.007722,address,1,sand,,,public,city,515615,www.muhos.fi,2026-05-09,LIPAS id 515615; type 1330; status active
FINLAND,Hautalahden beachvolleykenttä,Muurame,"Ratastie, 40950 Muurame",62.101121,25.656971,address,1,sand,,yes,public,city,515517,http://www.muurame.fi/muut-ulkoliikuntapaikat,2026-05-09,LIPAS id 515517; type 1330; status active
FINLAND,Uimolan beachvolleykenttä,Muurame,"Jaakkolantie, 40950 Muurame",62.124504,25.686795,address,1,sand,,yes,public,city,102029,http://www.muurame.fi/muut-ulkoliikuntapaikat,2026-05-09,LIPAS id 102029; type 1330; status active
FINLAND,Muurlan beachvolley kenttä,Muurla,"Urheilutie 1, 25130 Muurla",60.365865,23.300132,address,,,,,public,city,605657,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-4345,2026-05-09,LIPAS id 605657; type 1330; status active
FINLAND,Myllymäen beachvolleykenttä,Myllymäki,"Palkkikankaantie 68, 63900 Myllymäki",62.518870,24.280950,address,1,sand,,,public,registered-association,102156,,2026-05-09,LIPAS id 102156; type 1330; status active
FINLAND,Asmandian beachvolleykenttä,Mynämäki,"Opintie 36, 23100 Mynämäki",60.655926,21.952965,address,,sand,,yes,public,registered-association,613414,https://www.mynamaenasemanseutu.net/ulkoilualue-asmandia/,2026-05-09,LIPAS id 613414; type 1330; status active
FINLAND,Mynämäen urheilukeskuksen beachvolleykenttä,Mynämäki,"Urheilutie 6, 23100 Mynämäki",60.667934,22.005971,address,1,sand,,,public,city,515504,http://www.mynamaki.fi/,2026-05-09,LIPAS id 515504; type 1330; status active
FINLAND,Lentopallokenttä,Myrskylä,"Kapakantie 19, 07600 Myrskylä",60.670033,25.861721,address,,sand,,yes,public,city,605413,https://myrskyla.fi/hyvinvointipalvelut/liikuntapalvelut/ulkoilureitit/,2026-05-09,LIPAS id 605413; type 1330; status active
FINLAND,Syväjärven beachvolleykenttä,Myrskylä,"Syväjärven 155c, 07600 Myrskylä",60.672609,25.906026,address,,sand,,yes,public,city,605412,,2026-05-09,LIPAS id 605412; type 1330; status active
FINLAND,Sälinkään urheilukenttä,Mäntsälä,"Oitintie 7, 04740 Mäntsälä",60.712229,25.233890,address,1,sand,,yes,school,city,603533,http://www.mantsala.fi/,2026-05-09,LIPAS id 603533; type 1330; status active
FINLAND,Ullanpuiston beachvolleykenttä,Mäntsälä,"Ullantie, 04600 Mäntsälä",60.638225,25.330102,address,1,sand,,yes,public,city,603456,,2026-05-09,LIPAS id 603456; type 1330; status active
FINLAND,Urheilukeskuksen beach volleykenttä 1,Mänttä,"Miinapellonkatu, 35800 Mänttä",62.036297,24.620461,address,1,sand,,,public,city,515437,www.manttavilppula.fi,2026-05-09,LIPAS id 515437; type 1330; status active
FINLAND,Urheilukeskuksen beach volleykenttä 2,Mänttä,"Miinapellonkatu, 35800 Mänttä",62.036401,24.620448,address,1,sand,,,public,city,515438,www.manttavilppula.fi,2026-05-09,LIPAS id 515438; type 1330; status active
FINLAND,Kurkiniemen beachvolleykenttä,Mäntyharju,"Asematie, 52700 Mäntyharju",61.422969,26.877621,address,1,sand,,,public,city,515419,,2026-05-09,LIPAS id 515419; type 1330; status active
FINLAND,Urheilualueen beachvolleykenttä,Mäntyharju,"Urheilutie, 52700 Mäntyharju",61.413025,26.868397,address,1,sand,,,public,city,101811,http://www.mantyharju.fi/,2026-05-09,LIPAS id 101811; type 1330; status active
